CountryName,CountryCode,Date,StringencyIndex
Slovenia,SVN,2020-01-01,0
Sweden,SWE,2020-01-01,0
Syria,SYR,2020-01-01,0
Thailand,THA,2020-01-01,0
Tanzania,TZA,2020-01-01,0
Uganda,UGA,2020-01-01,0
United States,USA,2020-01-01,0
Venezuela,VEN,2020-01-01,0
South Africa,ZAF,2020-01-01,0
Zimbabwe,ZWE,2020-01-01,0
Taiwan,TWN,2020-01-01,0
Afghanistan,AFG,2020-01-02,0
Angola,AGO,2020-01-02,0
Argentina,ARG,2020-01-02,0
Australia,AUS,2020-01-02,7
Austria,AUT,2020-01-02,0
Belgium,BEL,2020-01-02,0
Bulgaria,BGR,2020-01-02,0
Belize,BLZ,2020-01-02,0
Bermuda,BMU,2020-01-02,0
Bolivia,BOL,2020-01-02,0
Brazil,BRA,2020-01-02,0
Barbados,BRB,2020-01-02,0
Botswana,BWA,2020-01-02,19
Canada,CAN,2020-01-02,0
Switzerland,CHE,2020-01-02,0
Chile,CHL,2020-01-02,0
China,CHN,2020-01-02,0
Colombia,COL,2020-01-02,0
Costa Rica,CRI,2020-01-02,0
Czech Republic,CZE,2020-01-02,0
Germany,DEU,2020-01-02,0
Dominican Republic,DOM,2020-01-02,0
Algeria,DZA,2020-01-02,0
Ecuador,ECU,2020-01-02,0
Spain,ESP,2020-01-02,0
Finland,FIN,2020-01-02,0
France,FRA,2020-01-02,0
United Kingdom,GBR,2020-01-02,0
Greece,GRC,2020-01-02,0
Guatemala,GTM,2020-01-02,0
Guyana,GUY,2020-01-02,0
Hong Kong,HKG,2020-01-02,14
Honduras,HND,2020-01-02,0
Croatia,HRV,2020-01-02,0
Hungary,HUN,2020-01-02,0
Indonesia,IDN,2020-01-02,0
India,IND,2020-01-02,0
Ireland,IRL,2020-01-02,0
Iran,IRN,2020-01-02,0
Iraq,IRQ,2020-01-02,0
Iceland,ISL,2020-01-02,5
Israel,ISR,2020-01-02,0
Italy,ITA,2020-01-02,0
Jordan,JOR,2020-01-02,0
Japan,JPN,2020-01-02,0
Kazakhstan,KAZ,2020-01-02,0
Kenya,KEN,2020-01-02,0
South Korea,KOR,2020-01-02,0
Sri Lanka,LKA,2020-01-02,0
Macao,MAC,2020-01-02,14
Mexico,MEX,2020-01-02,0
Myanmar,MMR,2020-01-02,0
Malaysia,MYS,2020-01-02,0
Nigeria,NGA,2020-01-02,5
Nicaragua,NIC,2020-01-02,0
Netherlands,NLD,2020-01-02,0
Norway,NOR,2020-01-02,0
New Zealand,NZL,2020-01-02,0
Pakistan,PAK,2020-01-02,0
Panama,PAN,2020-01-02,0
Papua New Guinea,PNG,2020-01-02,0
Poland,POL,2020-01-02,0
Portugal,PRT,2020-01-02,0
Qatar,QAT,2020-01-02,0
Romania,ROU,2020-01-02,0
Russia,RUS,2020-01-02,0
Singapore,SGP,2020-01-02,24
El Salvador,SLV,2020-01-02,0
Serbia,SRB,2020-01-02,0
Slovak Republic,SVK,2020-01-02,0
Slovenia,SVN,2020-01-02,0
Sweden,SWE,2020-01-02,0
Syria,SYR,2020-01-02,0
Thailand,THA,2020-01-02,0
Tanzania,TZA,2020-01-02,0
Uganda,UGA,2020-01-02,0
United States,USA,2020-01-02,0
Venezuela,VEN,2020-01-02,0
Vietnam,VNM,2020-01-02,0
South Africa,ZAF,2020-01-02,0
Zimbabwe,ZWE,2020-01-02,0
Taiwan,TWN,2020-01-02,0
Afghanistan,AFG,2020-01-03,0
Angola,AGO,2020-01-03,0
Argentina,ARG,2020-01-03,0
Australia,AUS,2020-01-03,7
Austria,AUT,2020-01-03,0
Belgium,BEL,2020-01-03,0
Bulgaria,BGR,2020-01-03,0
Belize,BLZ,2020-01-03,0
Bermuda,BMU,2020-01-03,0
Bolivia,BOL,2020-01-03,0
Brazil,BRA,2020-01-03,0
Barbados,BRB,2020-01-03,0
Botswana,BWA,2020-01-03,19
Canada,CAN,2020-01-03,0
Switzerland,CHE,2020-01-03,0
Chile,CHL,2020-01-03,0
China,CHN,2020-01-03,0
Colombia,COL,2020-01-03,0
Costa Rica,CRI,2020-01-03,0
Czech Republic,CZE,2020-01-03,0
Germany,DEU,2020-01-03,0
Dominican Republic,DOM,2020-01-03,0
Algeria,DZA,2020-01-03,0
Ecuador,ECU,2020-01-03,0
Spain,ESP,2020-01-03,0
Finland,FIN,2020-01-03,0
France,FRA,2020-01-03,0
United Kingdom,GBR,2020-01-03,0
Greece,GRC,2020-01-03,0
Guatemala,GTM,2020-01-03,0
Guyana,GUY,2020-01-03,0
Hong Kong,HKG,2020-01-03,19
Honduras,HND,2020-01-03,0
Croatia,HRV,2020-01-03,0
Hungary,HUN,2020-01-03,0
Indonesia,IDN,2020-01-03,0
India,IND,2020-01-03,0
Ireland,IRL,2020-01-03,0
Iran,IRN,2020-01-03,0
Iraq,IRQ,2020-01-03,0
Iceland,ISL,2020-01-03,5
Israel,ISR,2020-01-03,0
Italy,ITA,2020-01-03,0
Jordan,JOR,2020-01-03,0
Japan,JPN,2020-01-03,0
Kazakhstan,KAZ,2020-01-03,0
Kenya,KEN,2020-01-03,0
South Korea,KOR,2020-01-03,0
Sri Lanka,LKA,2020-01-03,0
Macao,MAC,2020-01-03,14
Mexico,MEX,2020-01-03,0
Myanmar,MMR,2020-01-03,0
Malaysia,MYS,2020-01-03,0
Nigeria,NGA,2020-01-03,5
Nicaragua,NIC,2020-01-03,0
Netherlands,NLD,2020-01-03,0
Norway,NOR,2020-01-03,0
New Zealand,NZL,2020-01-03,0
Pakistan,PAK,2020-01-03,0
Panama,PAN,2020-01-03,0
Papua New Guinea,PNG,2020-01-03,0
Poland,POL,2020-01-03,0
Portugal,PRT,2020-01-03,0
Qatar,QAT,2020-01-03,0
Romania,ROU,2020-01-03,0
Russia,RUS,2020-01-03,0
Singapore,SGP,2020-01-03,19
El Salvador,SLV,2020-01-03,0
Serbia,SRB,2020-01-03,0
Slovak Republic,SVK,2020-01-03,0
Slovenia,SVN,2020-01-03,0
Sweden,SWE,2020-01-03,0
Syria,SYR,2020-01-03,0
Thailand,THA,2020-01-03,0
Tanzania,TZA,2020-01-03,0
Uganda,UGA,2020-01-03,0
United States,USA,2020-01-03,0
Venezuela,VEN,2020-01-03,0
Vietnam,VNM,2020-01-03,0
South Africa,ZAF,2020-01-03,0
Zimbabwe,ZWE,2020-01-03,0
Taiwan,TWN,2020-01-03,0
Afghanistan,AFG,2020-01-04,0
Angola,AGO,2020-01-04,0
Argentina,ARG,2020-01-04,0
Australia,AUS,2020-01-04,7
Austria,AUT,2020-01-04,0
Belgium,BEL,2020-01-04,0
Bulgaria,BGR,2020-01-04,0
Belize,BLZ,2020-01-04,0
Bermuda,BMU,2020-01-04,0
Bolivia,BOL,2020-01-04,0
Brazil,BRA,2020-01-04,0
Barbados,BRB,2020-01-04,0
Botswana,BWA,2020-01-04,19
Canada,CAN,2020-01-04,0
Switzerland,CHE,2020-01-04,0
Chile,CHL,2020-01-04,0
China,CHN,2020-01-04,0
Colombia,COL,2020-01-04,0
Costa Rica,CRI,2020-01-04,0
Czech Republic,CZE,2020-01-04,0
Germany,DEU,2020-01-04,0
Dominican Republic,DOM,2020-01-04,0
Algeria,DZA,2020-01-04,0
Ecuador,ECU,2020-01-04,0
Spain,ESP,2020-01-04,0
Finland,FIN,2020-01-04,0
France,FRA,2020-01-04,0
United Kingdom,GBR,2020-01-04,0
Greece,GRC,2020-01-04,0
Guatemala,GTM,2020-01-04,0
Guyana,GUY,2020-01-04,0
Hong Kong,HKG,2020-01-04,19
Honduras,HND,2020-01-04,0
Croatia,HRV,2020-01-04,0
Hungary,HUN,2020-01-04,0
Indonesia,IDN,2020-01-04,0
India,IND,2020-01-04,0
Ireland,IRL,2020-01-04,0
Iran,IRN,2020-01-04,0
Iraq,IRQ,2020-01-04,0
Iceland,ISL,2020-01-04,5
Israel,ISR,2020-01-04,0
Italy,ITA,2020-01-04,0
Jordan,JOR,2020-01-04,0
Japan,JPN,2020-01-04,0
Kazakhstan,KAZ,2020-01-04,0
Kenya,KEN,2020-01-04,0
South Korea,KOR,2020-01-04,0
Sri Lanka,LKA,2020-01-04,0
Macao,MAC,2020-01-04,14
Mexico,MEX,2020-01-04,0
Myanmar,MMR,2020-01-04,0
Malaysia,MYS,2020-01-04,0
Nigeria,NGA,2020-01-04,5
Nicaragua,NIC,2020-01-04,0
Netherlands,NLD,2020-01-04,0
Norway,NOR,2020-01-04,0
New Zealand,NZL,2020-01-04,0
Pakistan,PAK,2020-01-04,0
Panama,PAN,2020-01-04,0
Papua New Guinea,PNG,2020-01-04,0
Poland,POL,2020-01-04,0
Portugal,PRT,2020-01-04,0
Qatar,QAT,2020-01-04,0
Romania,ROU,2020-01-04,0
Russia,RUS,2020-01-04,0
Singapore,SGP,2020-01-04,24
El Salvador,SLV,2020-01-04,0
Serbia,SRB,2020-01-04,0
Slovak Republic,SVK,2020-01-04,0
Slovenia,SVN,2020-01-04,0
Sweden,SWE,2020-01-04,0
Syria,SYR,2020-01-04,0
Thailand,THA,2020-01-04,0
Tanzania,TZA,2020-01-04,0
Uganda,UGA,2020-01-04,0
United States,USA,2020-01-04,0
Venezuela,VEN,2020-01-04,0
Vietnam,VNM,2020-01-04,0
South Africa,ZAF,2020-01-04,0
Zimbabwe,ZWE,2020-01-04,0
Taiwan,TWN,2020-01-04,0
Afghanistan,AFG,2020-01-05,0
Angola,AGO,2020-01-05,0
Argentina,ARG,2020-01-05,0
Australia,AUS,2020-01-05,7
Austria,AUT,2020-01-05,0
Belgium,BEL,2020-01-05,0
Bulgaria,BGR,2020-01-05,0
Belize,BLZ,2020-01-05,0
Bermuda,BMU,2020-01-05,0
Bolivia,BOL,2020-01-05,0
Brazil,BRA,2020-01-05,0
Barbados,BRB,2020-01-05,0
Botswana,BWA,2020-01-05,19
Canada,CAN,2020-01-05,0
Switzerland,CHE,2020-01-05,0
Chile,CHL,2020-01-05,0
China,CHN,2020-01-05,0
Colombia,COL,2020-01-05,0
Costa Rica,CRI,2020-01-05,0
Czech Republic,CZE,2020-01-05,0
Germany,DEU,2020-01-05,0
Dominican Republic,DOM,2020-01-05,0
Algeria,DZA,2020-01-05,0
Ecuador,ECU,2020-01-05,0
Spain,ESP,2020-01-05,0
Finland,FIN,2020-01-05,0
France,FRA,2020-01-05,0
United Kingdom,GBR,2020-01-05,0
Greece,GRC,2020-01-05,0
Guatemala,GTM,2020-01-05,0
Guyana,GUY,2020-01-05,0
Hong Kong,HKG,2020-01-05,19
Honduras,HND,2020-01-05,0
Croatia,HRV,2020-01-05,0
Hungary,HUN,2020-01-05,0
Indonesia,IDN,2020-01-05,0
India,IND,2020-01-05,0
Ireland,IRL,2020-01-05,0
Iran,IRN,2020-01-05,0
Iraq,IRQ,2020-01-05,0
Iceland,ISL,2020-01-05,5
Israel,ISR,2020-01-05,0
Italy,ITA,2020-01-05,0
Jordan,JOR,2020-01-05,0
Japan,JPN,2020-01-05,0
Kazakhstan,KAZ,2020-01-05,0
Kenya,KEN,2020-01-05,0
South Korea,KOR,2020-01-05,0
Sri Lanka,LKA,2020-01-05,0
Macao,MAC,2020-01-05,14
Mexico,MEX,2020-01-05,0
Myanmar,MMR,2020-01-05,0
Malaysia,MYS,2020-01-05,0
Nigeria,NGA,2020-01-05,5
Nicaragua,NIC,2020-01-05,0
Netherlands,NLD,2020-01-05,0
Norway,NOR,2020-01-05,0
New Zealand,NZL,2020-01-05,0
Pakistan,PAK,2020-01-05,0
Panama,PAN,2020-01-05,0
Papua New Guinea,PNG,2020-01-05,0
Poland,POL,2020-01-05,0
Portugal,PRT,2020-01-05,0
Qatar,QAT,2020-01-05,0
Romania,ROU,2020-01-05,0
Russia,RUS,2020-01-05,0
Singapore,SGP,2020-01-05,24
El Salvador,SLV,2020-01-05,0
Serbia,SRB,2020-01-05,0
Slovak Republic,SVK,2020-01-05,0
Slovenia,SVN,2020-01-05,0
Sweden,SWE,2020-01-05,0
Syria,SYR,2020-01-05,0
Thailand,THA,2020-01-05,0
Tanzania,TZA,2020-01-05,0
Uganda,UGA,2020-01-05,0
United States,USA,2020-01-05,0
Venezuela,VEN,2020-01-05,0
Vietnam,VNM,2020-01-05,0
South Africa,ZAF,2020-01-05,0
Zimbabwe,ZWE,2020-01-05,0
Taiwan,TWN,2020-01-05,0
Afghanistan,AFG,2020-01-06,0
Angola,AGO,2020-01-06,0
Argentina,ARG,2020-01-06,0
Australia,AUS,2020-01-06,7
Austria,AUT,2020-01-06,0
Belgium,BEL,2020-01-06,0
Bulgaria,BGR,2020-01-06,0
Belize,BLZ,2020-01-06,0
Bermuda,BMU,2020-01-06,0
Bolivia,BOL,2020-01-06,0
Brazil,BRA,2020-01-06,0
Barbados,BRB,2020-01-06,0
Botswana,BWA,2020-01-06,19
Canada,CAN,2020-01-06,0
Switzerland,CHE,2020-01-06,0
Chile,CHL,2020-01-06,0
China,CHN,2020-01-06,0
Colombia,COL,2020-01-06,0
Costa Rica,CRI,2020-01-06,0
Czech Republic,CZE,2020-01-06,0
Germany,DEU,2020-01-06,0
Dominican Republic,DOM,2020-01-06,0
Algeria,DZA,2020-01-06,0
Ecuador,ECU,2020-01-06,0
Spain,ESP,2020-01-06,0
Finland,FIN,2020-01-06,0
France,FRA,2020-01-06,0
United Kingdom,GBR,2020-01-06,0
Greece,GRC,2020-01-06,0
Guatemala,GTM,2020-01-06,0
Guyana,GUY,2020-01-06,0
Hong Kong,HKG,2020-01-06,19
Honduras,HND,2020-01-06,0
Croatia,HRV,2020-01-06,0
Hungary,HUN,2020-01-06,0
Indonesia,IDN,2020-01-06,0
India,IND,2020-01-06,0
Ireland,IRL,2020-01-06,0
Iran,IRN,2020-01-06,0
Iraq,IRQ,2020-01-06,0
Iceland,ISL,2020-01-06,5
Israel,ISR,2020-01-06,0
Italy,ITA,2020-01-06,0
Jordan,JOR,2020-01-06,0
Japan,JPN,2020-01-06,0
Kazakhstan,KAZ,2020-01-06,0
Kenya,KEN,2020-01-06,0
South Korea,KOR,2020-01-06,0
Sri Lanka,LKA,2020-01-06,0
Macao,MAC,2020-01-06,19
Mexico,MEX,2020-01-06,0
Myanmar,MMR,2020-01-06,7
Malaysia,MYS,2020-01-06,0
Nigeria,NGA,2020-01-06,5
Nicaragua,NIC,2020-01-06,0
Netherlands,NLD,2020-01-06,0
Norway,NOR,2020-01-06,0
New Zealand,NZL,2020-01-06,0
Pakistan,PAK,2020-01-06,0
Panama,PAN,2020-01-06,0
Papua New Guinea,PNG,2020-01-06,0
Poland,POL,2020-01-06,0
Portugal,PRT,2020-01-06,0
Qatar,QAT,2020-01-06,0
Romania,ROU,2020-01-06,0
Russia,RUS,2020-01-06,0
Singapore,SGP,2020-01-06,24
El Salvador,SLV,2020-01-06,0
Serbia,SRB,2020-01-06,0
Slovak Republic,SVK,2020-01-06,0
Slovenia,SVN,2020-01-06,0
Sweden,SWE,2020-01-06,0
Syria,SYR,2020-01-06,0
Thailand,THA,2020-01-06,0
Tanzania,TZA,2020-01-06,0
Uganda,UGA,2020-01-06,0
United States,USA,2020-01-06,10
Venezuela,VEN,2020-01-06,0
Vietnam,VNM,2020-01-06,0
South Africa,ZAF,2020-01-06,0
Zimbabwe,ZWE,2020-01-06,0
Taiwan,TWN,2020-01-06,0
Afghanistan,AFG,2020-01-07,0
Angola,AGO,2020-01-07,0
Argentina,ARG,2020-01-07,0
Australia,AUS,2020-01-07,7
Austria,AUT,2020-01-07,0
Belgium,BEL,2020-01-07,0
Bulgaria,BGR,2020-01-07,0
Belize,BLZ,2020-01-07,0
Bermuda,BMU,2020-01-07,0
Bolivia,BOL,2020-01-07,0
Brazil,BRA,2020-01-07,0
Barbados,BRB,2020-01-07,0
Botswana,BWA,2020-01-07,19
Canada,CAN,2020-01-07,0
Switzerland,CHE,2020-01-07,0
Chile,CHL,2020-01-07,0
China,CHN,2020-01-07,0
Colombia,COL,2020-01-07,0
Costa Rica,CRI,2020-01-07,0
Czech Republic,CZE,2020-01-07,0
Germany,DEU,2020-01-07,0
Dominican Republic,DOM,2020-01-07,0
Algeria,DZA,2020-01-07,0
Ecuador,ECU,2020-01-07,0
Spain,ESP,2020-01-07,0
Finland,FIN,2020-01-07,0
France,FRA,2020-01-07,0
United Kingdom,GBR,2020-01-07,0
Greece,GRC,2020-01-07,0
Guatemala,GTM,2020-01-07,0
Guyana,GUY,2020-01-07,0
Hong Kong,HKG,2020-01-07,19
Honduras,HND,2020-01-07,0
Croatia,HRV,2020-01-07,0
Hungary,HUN,2020-01-07,0
Indonesia,IDN,2020-01-07,0
India,IND,2020-01-07,0
Ireland,IRL,2020-01-07,0
Iran,IRN,2020-01-07,0
Iraq,IRQ,2020-01-07,0
Iceland,ISL,2020-01-07,5
Israel,ISR,2020-01-07,0
Italy,ITA,2020-01-07,0
Jordan,JOR,2020-01-07,0
Japan,JPN,2020-01-07,5
Kazakhstan,KAZ,2020-01-07,0
Kenya,KEN,2020-01-07,0
South Korea,KOR,2020-01-07,0
Sri Lanka,LKA,2020-01-07,0
Macao,MAC,2020-01-07,19
Mexico,MEX,2020-01-07,0
Myanmar,MMR,2020-01-07,7
Malaysia,MYS,2020-01-07,0
Nigeria,NGA,2020-01-07,5
Nicaragua,NIC,2020-01-07,0
Netherlands,NLD,2020-01-07,0
Norway,NOR,2020-01-07,0
New Zealand,NZL,2020-01-07,0
Pakistan,PAK,2020-01-07,0
Panama,PAN,2020-01-07,0
Papua New Guinea,PNG,2020-01-07,0
Poland,POL,2020-01-07,0
Portugal,PRT,2020-01-07,0
Qatar,QAT,2020-01-07,0
Romania,ROU,2020-01-07,0
Russia,RUS,2020-01-07,0
Singapore,SGP,2020-01-07,24
El Salvador,SLV,2020-01-07,0
Serbia,SRB,2020-01-07,0
Slovak Republic,SVK,2020-01-07,0
Slovenia,SVN,2020-01-07,0
Sweden,SWE,2020-01-07,0
Syria,SYR,2020-01-07,0
Thailand,THA,2020-01-07,0
Tanzania,TZA,2020-01-07,0
Uganda,UGA,2020-01-07,0
United States,USA,2020-01-07,10
Venezuela,VEN,2020-01-07,0
Vietnam,VNM,2020-01-07,0
South Africa,ZAF,2020-01-07,0
Zimbabwe,ZWE,2020-01-07,0
Taiwan,TWN,2020-01-07,0
Afghanistan,AFG,2020-01-08,0
Angola,AGO,2020-01-08,0
Argentina,ARG,2020-01-08,0
Australia,AUS,2020-01-08,7
Austria,AUT,2020-01-08,0
Belgium,BEL,2020-01-08,0
Bulgaria,BGR,2020-01-08,0
Belize,BLZ,2020-01-08,0
Bermuda,BMU,2020-01-08,0
Bolivia,BOL,2020-01-08,0
Brazil,BRA,2020-01-08,0
Barbados,BRB,2020-01-08,0
Botswana,BWA,2020-01-08,19
Canada,CAN,2020-01-08,0
Switzerland,CHE,2020-01-08,0
Chile,CHL,2020-01-08,0
China,CHN,2020-01-08,0
Colombia,COL,2020-01-08,0
Costa Rica,CRI,2020-01-08,0
Czech Republic,CZE,2020-01-08,0
Germany,DEU,2020-01-08,0
Dominican Republic,DOM,2020-01-08,0
Algeria,DZA,2020-01-08,0
Ecuador,ECU,2020-01-08,0
Spain,ESP,2020-01-08,0
Finland,FIN,2020-01-08,0
France,FRA,2020-01-08,0
United Kingdom,GBR,2020-01-08,0
Greece,GRC,2020-01-08,0
Guatemala,GTM,2020-01-08,0
Guyana,GUY,2020-01-08,0
Hong Kong,HKG,2020-01-08,19
Honduras,HND,2020-01-08,0
Croatia,HRV,2020-01-08,0
Hungary,HUN,2020-01-08,0
Indonesia,IDN,2020-01-08,0
India,IND,2020-01-08,0
Ireland,IRL,2020-01-08,0
Iran,IRN,2020-01-08,0
Iraq,IRQ,2020-01-08,0
Iceland,ISL,2020-01-08,5
Israel,ISR,2020-01-08,0
Italy,ITA,2020-01-08,0
Jordan,JOR,2020-01-08,0
Japan,JPN,2020-01-08,5
Kazakhstan,KAZ,2020-01-08,0
Kenya,KEN,2020-01-08,0
South Korea,KOR,2020-01-08,0
Sri Lanka,LKA,2020-01-08,0
Macao,MAC,2020-01-08,19
Mexico,MEX,2020-01-08,0
Myanmar,MMR,2020-01-08,7
Malaysia,MYS,2020-01-08,0
Nigeria,NGA,2020-01-08,5
Nicaragua,NIC,2020-01-08,0
Netherlands,NLD,2020-01-08,0
Norway,NOR,2020-01-08,0
New Zealand,NZL,2020-01-08,0
Pakistan,PAK,2020-01-08,0
Panama,PAN,2020-01-08,0
Papua New Guinea,PNG,2020-01-08,0
Poland,POL,2020-01-08,0
Portugal,PRT,2020-01-08,0
Qatar,QAT,2020-01-08,0
Romania,ROU,2020-01-08,0
Russia,RUS,2020-01-08,0
Singapore,SGP,2020-01-08,24
El Salvador,SLV,2020-01-08,0
Serbia,SRB,2020-01-08,0
Slovak Republic,SVK,2020-01-08,0
Slovenia,SVN,2020-01-08,0
Sweden,SWE,2020-01-08,0
Syria,SYR,2020-01-08,0
Thailand,THA,2020-01-08,0
Tanzania,TZA,2020-01-08,0
Uganda,UGA,2020-01-08,0
United States,USA,2020-01-08,10
Venezuela,VEN,2020-01-08,0
Vietnam,VNM,2020-01-08,0
South Africa,ZAF,2020-01-08,0
Zimbabwe,ZWE,2020-01-08,0
Taiwan,TWN,2020-01-08,0
Afghanistan,AFG,2020-01-09,0
Angola,AGO,2020-01-09,0
Argentina,ARG,2020-01-09,0
Australia,AUS,2020-01-09,7
Austria,AUT,2020-01-09,0
Belgium,BEL,2020-01-09,0
Bulgaria,BGR,2020-01-09,0
Belize,BLZ,2020-01-09,0
Bermuda,BMU,2020-01-09,0
Bolivia,BOL,2020-01-09,0
Brazil,BRA,2020-01-09,0
Barbados,BRB,2020-01-09,0
Botswana,BWA,2020-01-09,19
Canada,CAN,2020-01-09,0
Switzerland,CHE,2020-01-09,0
Chile,CHL,2020-01-09,0
China,CHN,2020-01-09,0
Colombia,COL,2020-01-09,0
Costa Rica,CRI,2020-01-09,0
Czech Republic,CZE,2020-01-09,0
Germany,DEU,2020-01-09,0
Dominican Republic,DOM,2020-01-09,0
Algeria,DZA,2020-01-09,0
Ecuador,ECU,2020-01-09,0
Spain,ESP,2020-01-09,0
Finland,FIN,2020-01-09,0
France,FRA,2020-01-09,0
United Kingdom,GBR,2020-01-09,0
Greece,GRC,2020-01-09,0
Guatemala,GTM,2020-01-09,0
Guyana,GUY,2020-01-09,0
Hong Kong,HKG,2020-01-09,19
Honduras,HND,2020-01-09,0
Croatia,HRV,2020-01-09,0
Hungary,HUN,2020-01-09,0
Indonesia,IDN,2020-01-09,0
India,IND,2020-01-09,0
Ireland,IRL,2020-01-09,0
Iran,IRN,2020-01-09,0
Iraq,IRQ,2020-01-09,0
Iceland,ISL,2020-01-09,5
Israel,ISR,2020-01-09,0
Italy,ITA,2020-01-09,0
Jordan,JOR,2020-01-09,0
Japan,JPN,2020-01-09,5
Kazakhstan,KAZ,2020-01-09,0
Kenya,KEN,2020-01-09,0
South Korea,KOR,2020-01-09,0
Sri Lanka,LKA,2020-01-09,0
Macao,MAC,2020-01-09,19
Mexico,MEX,2020-01-09,5
Myanmar,MMR,2020-01-09,7
Malaysia,MYS,2020-01-09,0
Nigeria,NGA,2020-01-09,5
Nicaragua,NIC,2020-01-09,0
Netherlands,NLD,2020-01-09,0
Norway,NOR,2020-01-09,0
New Zealand,NZL,2020-01-09,0
Pakistan,PAK,2020-01-09,0
Panama,PAN,2020-01-09,0
Papua New Guinea,PNG,2020-01-09,0
Poland,POL,2020-01-09,0
Portugal,PRT,2020-01-09,0
Qatar,QAT,2020-01-09,0
Romania,ROU,2020-01-09,0
Russia,RUS,2020-01-09,0
Singapore,SGP,2020-01-09,24
El Salvador,SLV,2020-01-09,0
Serbia,SRB,2020-01-09,0
Slovak Republic,SVK,2020-01-09,0
Slovenia,SVN,2020-01-09,0
Sweden,SWE,2020-01-09,0
Syria,SYR,2020-01-09,0
Thailand,THA,2020-01-09,0
Tanzania,TZA,2020-01-09,0
Uganda,UGA,2020-01-09,0
United States,USA,2020-01-09,10
Venezuela,VEN,2020-01-09,0
Vietnam,VNM,2020-01-09,0
South Africa,ZAF,2020-01-09,0
Zimbabwe,ZWE,2020-01-09,0
Taiwan,TWN,2020-01-09,0
Afghanistan,AFG,2020-01-10,0
Angola,AGO,2020-01-10,0
Argentina,ARG,2020-01-10,0
Australia,AUS,2020-01-10,7
Austria,AUT,2020-01-10,0
Belgium,BEL,2020-01-10,0
Bulgaria,BGR,2020-01-10,0
Belize,BLZ,2020-01-10,0
Bermuda,BMU,2020-01-10,0
Bolivia,BOL,2020-01-10,0
Brazil,BRA,2020-01-10,0
Barbados,BRB,2020-01-10,0
Botswana,BWA,2020-01-10,19
Canada,CAN,2020-01-10,0
Switzerland,CHE,2020-01-10,0
Chile,CHL,2020-01-10,0
China,CHN,2020-01-10,0
Colombia,COL,2020-01-10,0
Costa Rica,CRI,2020-01-10,0
Czech Republic,CZE,2020-01-10,0
Germany,DEU,2020-01-10,0
Dominican Republic,DOM,2020-01-10,0
Algeria,DZA,2020-01-10,0
Ecuador,ECU,2020-01-10,0
Spain,ESP,2020-01-10,0
Finland,FIN,2020-01-10,0
France,FRA,2020-01-10,0
United Kingdom,GBR,2020-01-10,0
Greece,GRC,2020-01-10,0
