dateStr,territory,deaths,cases,weekTests
2020-03-08,6,1,57,
2020-03-08,12,3,87,
2020-03-08,7,6,78,
2020-03-08,3,267,4189,
2020-03-08,11,7,272,
2020-03-08,14,0,14,
2020-03-08,21,0,9,
2020-03-08,22,0,23,
2020-03-08,1,5,360,
2020-03-08,16,3,40,
2020-03-08,20,0,11,
2020-03-08,19,0,53,
2020-03-08,9,0,166,
2020-03-08,10,0,26,
2020-03-08,2,0,9,
2020-03-08,5,18,670,
2020-03-09,13,0,30,
2020-03-09,17,0,5,
2020-03-09,18,0,11,
2020-03-09,15,0,120,
2020-03-09,8,70,1386,
2020-03-09,6,1,93,
2020-03-09,12,5,102,
2020-03-09,7,7,109,
2020-03-09,3,333,5469,
2020-03-09,11,10,323,
2020-03-09,14,0,14,
2020-03-09,21,0,9,
2020-03-09,22,0,33,
2020-03-09,1,13,350,
2020-03-09,16,3,50,
2020-03-09,20,0,19,
2020-03-09,19,0,54,
2020-03-09,9,1,208,
2020-03-09,10,0,28,
2020-03-09,2,0,15,
2020-03-09,5,20,744,
2020-03-10,13,1,38,
2020-03-10,17,0,7,
2020-03-10,18,0,13,
2020-03-10,15,0,127,
2020-03-10,8,85,1533,
2020-03-10,6,3,116,
2020-03-10,12,6,116,
2020-03-10,7,8,141,
2020-03-10,3,468,5791,
2020-03-10,11,13,394,
2020-03-10,14,0,15,
2020-03-10,21,0,38,
2020-03-10,22,0,52,
2020-03-10,1,17,453,
2020-03-10,16,3,59,
2020-03-10,20,0,20,
2020-03-10,19,0,62,
2020-03-10,9,1,264,
2020-03-10,10,0,37,
2020-03-10,2,0,17,
2020-03-10,5,26,856,
2020-03-11,13,1,38,
2020-03-11,17,0,8,
2020-03-11,18,0,19,
2020-03-11,15,1,154,
2020-03-11,8,113,1739,
2020-03-11,6,6,126,
2020-03-11,12,6,150,
2020-03-11,7,8,194,
2020-03-11,3,617,7280,
2020-03-11,11,18,479,
2020-03-11,14,0,16,
2020-03-11,21,0,75,
2020-03-11,22,0,77,
2020-03-11,1,21,501,
2020-03-11,16,5,77,
2020-03-11,20,0,37,
2020-03-11,19,0,83,
2020-03-11,9,1,320,
2020-03-11,10,0,46,
2020-03-11,2,1,20,
2020-03-11,5,29,1023,
2020-03-12,13,2,84,
2020-03-12,17,0,8,
2020-03-12,18,0,33,
2020-03-12,15,1,179,
2020-03-12,8,146,1947,
2020-03-12,6,8,167,
2020-03-12,12,9,200,
2020-03-12,7,11,274,
2020-03-12,3,744,8725,
2020-03-12,11,22,592,
2020-03-12,14,0,16,
2020-03-12,21,1,104,
2020-03-12,22,1,107,
2020-03-12,1,26,580,
2020-03-12,16,5,104,
2020-03-12,20,0,39,
2020-03-12,19,2,115,
2020-03-12,9,5,364,
2020-03-12,10,0,64,
2020-03-12,2,1,27,
2020-03-12,5,32,1384,
2020-03-13,13,2,89,
2020-03-13,17,0,10,
2020-03-13,18,0,38,
2020-03-13,15,2,220,
2020-03-13,8,201,2263,
2020-03-13,6,10,257,
2020-03-13,12,11,277,
2020-03-13,7,17,345,
2020-03-13,3,890,9820,
2020-03-13,11,27,725,
2020-03-13,14,0,17,
2020-03-13,21,2,125,
2020-03-13,22,2,163,
2020-03-13,1,46,840,
2020-03-13,16,5,129,
2020-03-13,20,0,43,
2020-03-13,19,2,130,
2020-03-13,9,5,470,
2020-03-13,10,1,76,
2020-03-13,2,1,28,
2020-03-13,5,42,1595,
2020-03-14,13,2,112,
2020-03-14,17,0,10,
2020-03-14,18,0,60,
2020-03-14,15,6,272,
2020-03-14,8,241,2644,
2020-03-14,6,13,301,
2020-03-14,12,13,357,
2020-03-14,7,27,463,
2020-03-14,3,966,11685,
2020-03-14,11,36,899,
2020-03-14,14,0,17,
2020-03-14,21,3,173,
2020-03-14,22,2,206,
2020-03-14,1,59,873,
2020-03-14,16,8,166,
2020-03-14,20,0,47,
2020-03-14,19,2,156,
2020-03-14,9,6,630,
2020-03-14,10,1,107,
2020-03-14,2,1,42,
2020-03-14,5,55,1937,
2020-03-15,13,3,137,
2020-03-15,17,0,11,
2020-03-15,18,1,68,
2020-03-15,15,9,333,
2020-03-15,8,284,3093,
2020-03-15,6,14,347,
2020-03-15,12,16,436,
2020-03-15,7,33,559,
2020-03-15,3,1218,13272,
2020-03-15,11,46,1133,
2020-03-15,14,0,17,
2020-03-15,21,5,204,
2020-03-15,22,6,378,
2020-03-15,1,81,1111,
2020-03-15,16,16,230,
2020-03-15,20,2,77,
2020-03-15,19,2,188,
2020-03-15,9,8,781,
2020-03-15,10,1,143,
2020-03-15,2,1,57,
2020-03-15,5,63,2172,
2020-03-16,13,4,176,
2020-03-16,17,0,12,
2020-03-16,18,1,89,
2020-03-16,15,9,400,
2020-03-16,8,346,3522,
2020-03-16,6,22,386,
2020-03-16,12,19,523,
2020-03-16,7,50,667,
2020-03-16,3,1420,14649,
2020-03-16,11,57,1242,
2020-03-16,14,1,21,
2020-03-16,21,6,241,
2020-03-16,22,6,378,
2020-03-16,1,111,1516,
2020-03-16,16,16,230,
2020-03-16,20,2,107,
2020-03-16,19,2,213,
2020-03-16,9,14,866,
2020-03-16,10,1,164,
2020-03-16,2,2,105,
2020-03-16,5,69,2473,
2020-03-17,13,6,229,
2020-03-17,17,0,20,
2020-03-17,18,1,114,
2020-03-17,15,9,460,
2020-03-17,8,393,3931,
2020-03-17,6,30,394,
2020-03-17,12,23,607,
2020-03-17,7,60,778,
2020-03-17,3,1640,16220,
2020-03-17,11,69,1371,
2020-03-17,14,1,25,
2020-03-17,21,8,291,
2020-03-17,22,7,385,
2020-03-17,1,133,1897,
2020-03-17,16,18,340,
2020-03-17,20,2,117,
2020-03-17,19,3,237,
2020-03-17,9,17,1053,
2020-03-17,10,1,197,
2020-03-17,2,2,136,
2020-03-17,5,80,2704,
2020-03-18,13,7,263,
2020-03-18,17,0,27,
2020-03-18,18,1,129,
2020-03-18,15,9,460,
2020-03-18,8,458,4525,
2020-03-18,6,31,462,
2020-03-18,12,32,724,
2020-03-18,7,73,887,
2020-03-18,3,1959,17713,
2020-03-18,11,92,1568,
2020-03-18,14,1,28,
2020-03-18,21,9,376,
2020-03-18,22,7,455,
2020-03-18,1,154,2341,
2020-03-18,16,19,383,
2020-03-18,20,2,134,
2020-03-18,19,3,282,
2020-03-18,9,22,1330,
2020-03-18,10,2,247,
2020-03-18,2,3,165,
2020-03-18,5,94,3214,
2020-03-19,13,11,385,
2020-03-19,17,0,37,
2020-03-19,18,3,169,
2020-03-19,15,17,652,
2020-03-19,8,531,5214,
2020-03-19,6,36,599,
2020-03-19,12,38,823,
2020-03-19,7,91,1059,
2020-03-19,3,2168,19884,
2020-03-19,11,115,1737,
2020-03-19,14,2,46,
2020-03-19,21,14,436,
2020-03-19,22,12,523,
2020-03-19,1,175,2932,
2020-03-19,16,25,478,
2020-03-19,20,2,206,
2020-03-19,19,4,340,
2020-03-19,9,38,1482,
2020-03-19,10,2,334,
2020-03-19,2,6,215,
2020-03-19,5,115,3484,
2020-03-20,13,17,449,
2020-03-20,17,0,52,
2020-03-20,18,4,207,
2020-03-20,15,17,749,
2020-03-20,8,640,5968,
2020-03-20,6,38,656,
2020-03-20,12,43,1008,
2020-03-20,7,119,1221,
2020-03-20,3,2549,22264,
2020-03-20,11,137,1981,
2020-03-20,14,5,50,
2020-03-20,21,17,548,
2020-03-20,22,13,642,
2020-03-20,1,209,3461,
2020-03-20,16,26,581,
2020-03-20,20,2,293,
2020-03-20,19,4,408,
2020-03-20,9,47,1793,
2020-03-20,10,7,395,
2020-03-20,2,7,264,
2020-03-20,5,131,4031,
2020-03-21,13,22,529,
2020-03-21,17,0,66,
2020-03-21,18,5,235,
2020-03-21,15,22,844,
2020-03-21,8,715,6705,
2020-03-21,6,42,790,
2020-03-21,12,50,1190,
2020-03-21,7,152,1436,
2020-03-21,3,3095,25515,
2020-03-21,11,154,2153,
2020-03-21,14,7,61,
2020-03-21,21,20,621,
2020-03-21,22,28,782,
2020-03-21,1,238,3752,
2020-03-21,16,29,675,
2020-03-21,20,4,330,
2020-03-21,19,6,490,
2020-03-21,9,72,2012,
2020-03-21,10,10,462,
2020-03-21,2,8,313,
2020-03-21,5,146,4617,
2020-03-22,13,33,587,
2020-03-22,17,0,81,
2020-03-22,18,8,273,
2020-03-22,15,29,936,
2020-03-22,8,816,7555,
2020-03-22,6,47,874,
2020-03-22,12,53,1383,
2020-03-22,7,171,1665,
2020-03-22,3,3456,27206,
2020-03-22,11,184,2421,
2020-03-22,14,7,66,
2020-03-22,21,23,678,
2020-03-22,22,35,954,
2020-03-22,1,283,4420,
2020-03-22,16,31,786,
2020-03-22,20,7,339,
2020-03-22,19,8,630,
2020-03-22,9,91,2277,
2020-03-22,10,16,521,
2020-03-22,2,9,364,
2020-03-22,5,169,5122,
2020-03-23,13,38,663,
2020-03-23,17,1,90,
2020-03-23,18,7,292,
2020-03-23,15,49,1026,
2020-03-23,8,892,8535,
2020-03-23,6,54,930,
2020-03-23,12,63,1540,
2020-03-23,7,212,1924,
2020-03-23,3,3776,28761,
2020-03-23,11,203,2569,
2020-03-23,14,7,67,
2020-03-23,21,29,724,
2020-03-23,22,41,1023,
2020-03-23,1,315,4861,
2020-03-23,16,37,906,
2020-03-23,20,11,359,
2020-03-23,19,13,721,
2020-03-23,9,109,2461,
2020-03-23,10,16,577,
2020-03-23,2,12,393,
2020-03-23,5,192,5505,
2020-03-24,13,46,689,
2020-03-24,17,1,92,
2020-03-24,18,10,319,
2020-03-24,15,56,1101,
2020-03-24,8,985,9254,
2020-03-24,6,64,992,
2020-03-24,12,80,1728,
2020-03-24,7,231,2116,
2020-03-24,3,4178,30703,
2020-03-24,11,231,2736,
2020-03-24,14,8,73,
2020-03-24,21,38,781,
2020-03-24,22,56,1110,
2020-03-24,1,374,5515,
2020-03-24,16,44,1005,
2020-03-24,20,15,421,
2020-03-24,19,20,846,
2020-03-24,9,129,2699,
2020-03-24,10,19,648,
2020-03-24,2,19,400,
2020-03-24,5,216,5948,
2020-03-25,13,52,813,
2020-03-25,17,1,113,
2020-03-25,18,11,351,
2020-03-25,15,74,1199,
2020-03-25,8,1077,10054,
2020-03-25,6,70,1139,
2020-03-25,12,95,1901,
2020-03-25,7,254,2305,
2020-03-25,3,4474,32346,
2020-03-25,11,287,2934,
2020-03-25,14,8,73,
2020-03-25,21,43,858,
2020-03-25,22,74,1222,
2020-03-25,1,449,6024,
2020-03-25,16,48,1093,
2020-03-25,20,18,442,
2020-03-25,19,25,994,
2020-03-25,9,142,2972,
2020-03-25,10,19,710,
2020-03-25,2,24,401,
2020-03-25,5,258,6442,
2020-03-26,13,63,946,
2020-03-26,17,1,134,
2020-03-26,18,14,393,
2020-03-26,15,83,1310,
2020-03-26,8,1174,10816,
2020-03-26,6,72,1223,
2020-03-26,12,106,2096,
2020-03-26,7,280,2567,
2020-03-26,3,4861,34889,
2020-03-26,11,310,3114,
2020-03-26,14,8,103,
2020-03-26,21,48,906,
2020-03-26,22,86,1297,
2020-03-26,1,449,6534,
2020-03-26,16,65,1182,
2020-03-26,20,19,494,
2020-03-26,19,33,1164,
2020-03-26,9,158,3226,
2020-03-26,10,20,802,
2020-03-26,2,28,408,
2020-03-26,5,287,6935,
2020-03-27,13,68,1017,
2020-03-27,17,3,151,
2020-03-27,18,18,494,
2020-03-27,15,98,1454,
2020-03-27,8,1267,11588,
2020-03-27,6,76,1317,
2020-03-27,12,118,2295,
2020-03-27,7,331,2696,
2020-03-27,3,5402,37298,
2020-03-27,11,336,3196,
2020-03-27,14,9,109,
2020-03-27,21,60,1003,
2020-03-27,22,102,1391,
2020-03-27,1,569,7092,
2020-03-27,16,69,1334,
2020-03-27,20,21,530,
2020-03-27,19,39,1250,
2020-03-27,9,177,3450,
2020-03-27,10,21,884,
2020-03-27,2,37,452,
2020-03-27,5,313,7497,
2020-03-28,13,76,1133,
2020-03-28,17,3,182,
2020-03-28,18,21,555,
2020-03-28,15,109,1592,
2020-03-28,8,1344,12383,
2020-03-28,6,87,1436,
2020-03-28,12,124,2505,
2020-03-28,7,358,2822,
2020-03-28,3,5944,39415,
2020-03-28,11,364,3373,
2020-03-28,14,9,123,
2020-03-28,21,64,1109,
2020-03-28,22,120,1505,
2020-03-28,1,617,7671,
2020-03-28,16,71,1458,
2020-03-28,20,26,624,
2020-03-28,19,57,1359,
2020-03-28,9,198,3817,
2020-03-28,10,28,969,
2020-03-28,2,41,511,
2020-03-28,5,362,7930,
2020-03-29,13,88,1293,
2020-03-29,17,4,202,
2020-03-29,18,25,614,
2020-03-29,15,117,1759,
2020-03-29,8,1443,13119,
2020-03-29,6,98,1480,
2020-03-29,12,136,2706,
2020-03-29,7,377,3076,
2020-03-29,3,6360,41007,
2020-03-29,11,386,3558,
2020-03-29,14,9,127,
2020-03-29,21,64,1214,
2020-03-29,22,129,1594,
2020-03-29,1,684,8206,
2020-03-29,16,86,1549,
2020-03-29,20,27,638,
2020-03-29,19,65,1460,
2020-03-29,9,215,4122,
2020-03-29,10,31,1023,
2020-03-29,2,43,584,
2020-03-29,5,392,8358,
2020-03-30,13,102,1345,
2020-03-30,17,5,214,
2020-03-30,18,31,647,
2020-03-30,15,125,1952,
2020-03-30,8,1538,13531,
2020-03-30,6,107,1501,
2020-03-30,12,150,2914,
2020-03-30,7,397,3217,
2020-03-30,3,6818,42161,
2020-03-30,11,417,3684,
2020-03-30,14,9,134,
2020-03-30,21,74,1325,
2020-03-30,22,147,1682,
2020-03-30,1,749,8712,
2020-03-30,16,91,1712,
2020-03-30,20,28,682,
2020-03-30,19,76,1555,
2020-03-30,9,231,4412,
2020-03-30,10,33,1051,
2020-03-30,2,50,584,
2020-03-30,5,413,8724,
2020-03-31,13,115,1401,
2020-03-31,17,7,226,
2020-03-31,18,36,659,
2020-03-31,15,133,2092,
2020-03-31,8,1644,14074,
2020-03-31,6,113,1593,
2020-03-31,12,162,3095,
2020-03-31,7,428,3416,
2020-03-31,3,7199,43208,
2020-03-31,11,452,3825,
2020-03-31,14,9,144,
2020-03-31,21,76,1371,
2020-03-31,22,164,1746,
2020-03-31,1,854,9301,
2020-03-31,16,110,1803,
2020-03-31,20,31,722,
2020-03-31,19,81,1647,
2020-03-31,9,244,4608,
2020-03-31,10,37,1078,
2020-03-31,2,56,628,
2020-03-31,5,477,9155,
2020-04-01,13,123,1436,
2020-04-01,17,9,237,
2020-04-01,18,38,669,
2020-04-01,15,148,2231,
2020-04-01,8,1732,14787,
2020-04-01,6,122,1685,
2020-04-01,12,169,3264,
2020-04-01,7,460,3660,
2020-04-01,3,7593,44773,
2020-04-01,11,477,3962,
2020-04-01,14,10,160,
2020-04-01,21,116,1418,
2020-04-01,22,173,1870,
2020-04-01,1,886,9795,
2020-04-01,16,129,1946,
2020-04-01,20,34,745,
2020-04-01,19,88,1718,
2020-04-01,9,253,4867,
2020-04-01,10,37,1095,
2020-04-01,2,59,631,
2020-04-01,5,499,9625,
2020-04-02,13,133,1497,
2020-04-02,17,10,246,
2020-04-02,18,41,691,
2020-04-02,15,167,2456,
2020-04-02,8,1811,15333,
2020-04-02,6,129,1799,
2020-04-02,12,185,3433,
2020-04-02,7,488,3782,
2020-04-02,3,7960,46065,
2020-04-02,11,503,4098,
2020-04-02,14,11,165,
2020-04-02,21,129,1479,
2020-04-02,22,187,2003,
2020-04-02,1,983,10353,
2020-04-02,16,144,2077,
2020-04-02,20,40,794,
2020-04-02,19,93,1791,
2020-04-02,9,268,5273,
2020-04-02,10,38,1128,
2020-04-02,2,63,668,
2020-04-02,5,532,10111,
2020-04-03,13,146,1563,
2020-04-03,17,11,261,
2020-04-03,18,45,733,
2020-04-03,15,181,2677,
2020-04-03,8,1902,15932,
2020-04-03,6,136,1879,
2020-04-03,12,199,3600,
2020-04-03,7,519,3965,
2020-04-03,3,8311,47520,
2020-04-03,11,557,4230,
2020-04-03,14,11,176,
2020-04-03,21,139,1559,
2020-04-03,22,204,2109,
2020-04-03,1,1043,10896,
2020-04-03,16,164,2182,
2020-04-03,20,41,825,
2020-04-03,19,101,1859,
2020-04-03,9,290,5499,
2020-04-03,10,39,1179,
2020-04-03,2,70,719,
2020-04-03,5,572,10464,
2020-04-04,13,153,1628,
2020-04-04,17,11,264,
2020-04-04,18,49,741,
2020-04-04,15,186,2828,
2020-04-04,8,1977,16540,
2020-04-04,6,145,1986,
2020-04-04,12,212,3757,
2020-04-04,7,542,4203,
2020-04-04,3,8656,49118,
2020-04-04,11,574,4341,
2020-04-04,14,11,206,
2020-04-04,21,146,1592,
2020-04-04,22,210,2220,
2020-04-04,1,1128,11709,
2020-04-04,16,173,2240,
2020-04-04,20,41,874,
2020-04-04,19,111,1932,
2020-04-04,9,307,5671,
2020-04-04,10,41,1210,
2020-04-04,2,82,748,
2020-04-04,5,607,10824,
2020-04-05,13,158,1703,
2020-04-05,17,13,278,
2020-04-05,18,56,795,
2020-04-05,15,189,2960,
2020-04-05,8,2051,17089,
2020-04-05,6,154,2048,
2020-04-05,12,219,3880,
2020-04-05,7,556,4449,
2020-04-05,3,8905,50455,
2020-04-05,11,599,4464,
2020-04-05,14,13,224,
2020-04-05,21,158,1644,
2020-04-05,22,217,2285,
2020-04-05,1,1168,12362,
2020-04-05,16,182,2317,
2020-04-05,20,43,907,
2020-04-05,19,116,1994,
2020-04-05,9,325,5847,
2020-04-05,10,43,1239,
2020-04-05,2,91,782,
2020-04-05,5,631,11226,
2020-04-06,13,169,1721,
2020-04-06,17,13,287,
2020-04-06,18,58,817,
2020-04-06,15,204,3058,
2020-04-06,8,2108,17556,
2020-04-06,6,158,2103,
2020-04-06,12,229,4031,
2020-04-06,7,595,4549,
2020-04-06,3,9202,51534,
2020-04-06,11,612,4614,
2020-04-06,14,13,224,
2020-04-06,21,164,1722,
2020-04-06,22,230,2348,
2020-04-06,1,1251,12924,
2020-04-06,16,195,2444,
2020-04-06,20,47,922,
2020-04-06,19,123,2046,
2020-04-06,9,350,6001,
2020-04-06,10,44,1253,
2020-04-06,2,96,805,
2020-04-06,5,662,11588,
2020-04-07,13,172,1799,
2020-04-07,17,14,291,
2020-04-07,18,60,833,
2020-04-07,15,216,3148,
2020-04-07,8,2180,17825,
2020-04-07,6,164,2153,
2020-04-07,12,238,4149,
2020-04-07,7,620,4757,
2020-04-07,3,9484,52325,
2020-04-07,11,630,4710,
2020-04-07,14,13,224,
2020-04-07,21,174,1811,
2020-04-07,22,244,2476,
2020-04-07,1,1319,13343,
2020-04-07,16,209,2514,
2020-04-07,20,52,935,
2020-04-07,19,125,2097,
2020-04-07,9,369,6173,
2020-04-07,10,49,1263,
2020-04-07,2,100,835,
2020-04-07,5,695,11925,
2020-04-08,13,179,1859,
2020-04-08,17,14,297,
2020-04-08,18,60,859,
2020-04-08,15,221,3268,
2020-04-08,8,2234,18234,
2020-04-08,6,169,2218,
2020-04-08,12,244,4266,
2020-04-08,7,654,4906,
2020-04-08,3,9722,53414,
2020-04-08,11,652,4859,
2020-04-08,14,13,226,
2020-04-08,21,183,1835,
2020-04-08,22,255,2602,
2020-04-08,1,1378,13883,
2020-04-08,16,219,2634,
2020-04-08,20,59,975,
2020-04-08,19,133,2159,
2020-04-08,9,392,6379,
2020-04-08,10,50,1289,
2020-04-08,2,102,850,
2020-04-08,5,736,12410,
2020-04-09,13,194,1931,
2020-04-09,17,15,303,
2020-04-09,18,61,874,
2020-04-09,15,227,3344,
2020-04-09,8,2316,18677,
2020-04-09,6,171,2299,
2020-04-09,12,253,4429,
2020-04-09,7,682,5020,
2020-04-09,3,10022,54802,
2020-04-09,11,669,4955,
2020-04-09,14,13,234,
2020-04-09,21,187,1903,
2020-04-09,22,268,2708,
2020-04-09,1,1454,14522,
2020-04-09,16,225,2716,
2020-04-09,20,64,1026,
2020-04-09,19,138,2232,
2020-04-09,9,408,6552,
2020-04-09,10,51,1298,
2020-04-09,2,105,868,
2020-04-09,5,756,12933,
2020-04-10,13,198,2014,
2020-04-10,17,15,308,
